observation_date,INTDSRINM193N
01-02-2019,6.5
01-03-2019,6.5
01-04-2019,6.25
01-05-2019,6.25
01-06-2019,6
01-07-2019,6
01-08-2019,5.65
01-09-2019,5.65
01-10-2019,5.4
01-11-2019,5.4
01-12-2019,5.4
01-01-2020,5.4
01-02-2020,5.4
01-03-2020,4.65
01-04-2020,4.65
01-05-2020,4.25
01-06-2020,4.25
01-07-2020,4.25
01-08-2020,4.25
01-09-2020,4.25
01-10-2020,4.25
01-11-2020,4.25
01-12-2020,4.25
01-01-2021,4.25
01-02-2021,4.25
01-03-2021,4.25
01-04-2021,4.25
01-05-2021,4.25
01-06-2021,4.25
01-07-2021,4.25
01-08-2021,4.25
01-09-2021,4.25
01-10-2021,4.25
01-11-2021,4.25
01-12-2021,4.25
01-01-2022,4.25
01-02-2022,4.25
01-03-2022,4.25
01-04-2022,4.25
01-05-2022,4.65
01-06-2022,5.15
01-07-2022,5.15
01-08-2022,5.4
01-09-2022,5.4
01-10-2022,5.9
01-11-2022,5.9
01-12-2022,6.25
01-01-2023,6.25
01-02-2023,6.5
01-03-2023,6.5
01-04-2023,6.5
01-05-2023,6.5
01-06-2023,6.5
01-07-2023,6.5
01-08-2023,6.5
01-09-2023,6.5
01-10-2023,6.5
01-11-2023,6.5
01-12-2023,6.5
01-01-2024,6.5
01-02-2024,6.5
01-03-2024,6.5
01-04-2024,6.5
01-05-2024,6.5
01-06-2024,6.5
01-07-2024,6.5
01-08-2024,6.5
01-09-2024,6.5
01-10-2024,6.5
01-11-2024,6.5
01-12-2024,6.5
