"Date","Price","Open","High","Low","Vol.","Change %"
"01-09-2022","1,998.10","2,054.67","2,118.73","1,959.11","","-4.07%"
"01-08-2022","2,082.93","2,008.59","2,107.59","1,999.29","","4.20%"
"01-07-2022","1,998.88","1,817.89","2,000.24","1,794.25","","9.57%"
"01-06-2022","1,824.29","1,926.71","1,944.65","1,754.55","","-5.22%"
"01-05-2022","1,924.74","1,999.34","2,017.09","1,833.20","","-4.57%"
"01-04-2022","2,016.94","2,032.27","2,099.65","1,991.56","","-0.84%"
"01-03-2022","2,034.09","1,934.14","2,043.87","1,832.68","","4.20%"
"01-02-2022","1,952.02","2,036.77","2,065.08","1,875.06","","-3.18%"
"01-01-2022","2,016.04","2,040.39","2,147.62","1,955.88","","-1.01%"
"01-12-2021","2,036.53","1,999.88","2,063.18","1,919.45","","2.54%"
"01-11-2021","1,986.01","2,054.67","2,126.18","1,961.58","","-2.74%"
"01-10-2021","2,041.97","2,034.35","2,157.74","2,025.40","","-0.01%"
"01-09-2021","2,042.26","2,007.31","2,088.06","1,993.05","","2.20%"
"01-08-2021","1,998.39","1,849.77","2,000.90","1,845.97","","8.80%"
"01-07-2021","1,836.79","1,824.57","1,850.05","1,806.83","","0.86%"
"01-06-2021","1,821.16","1,799.72","1,849.04","1,786.75","","1.53%"
"01-05-2021","1,793.79","1,670.09","1,796.15","1,664.33","","6.40%"
"01-04-2021","1,685.82","1,692.49","1,728.19","1,637.94","","0.33%"
"01-03-2021","1,680.25","1,664.87","1,743.46","1,630.74","","1.70%"
"01-02-2021","1,652.12","1,572.93","1,741.76","1,559.89","","5.89%"
"01-01-2021","1,560.24","1,601.87","1,692.61","1,556.01","","-2.49%"
"01-12-2020","1,600.15","1,485.17","1,602.53","1,476.12","","8.71%"
"01-11-2020","1,472.01","1,361.68","1,491.42","1,345.17","","8.47%"
"01-10-2020","1,357.09","1,351.67","1,413.95","1,345.17","","1.40%"
"01-09-2020","1,338.40","1,334.62","1,376.67","1,282.39","","0.83%"
"01-08-2020","1,327.38","1,303.37","1,374.27","1,286.47","","1.75%"
"01-07-2020","1,304.52","1,201.20","1,325.40","1,198.18","","9.10%"
"01-06-2020","1,195.72","1,136.24","1,229.41","1,117.62","","6.59%"
"01-05-2020","1,121.78","1,112.09","1,123.36","1,043.07","","-2.18%"
"01-04-2020","1,146.78","992.95","1,150.21","936.14","","15.28%"
"01-03-2020","994.79","1,293.20","1,302.88","873.49","","-21.82%"
"01-02-2020","1,272.51","1,323.99","1,399.36","1,269.11","","-6.30%"
"01-01-2020","1,358.08","1,373.01","1,409.47","1,345.60","","-0.84%"
"01-12-2019","1,369.56","1,366.18","1,383.13","1,329.86","","1.01%"
"01-11-2019","1,355.92","1,347.98","1,370.35","1,327.53","","0.55%"
"01-10-2019","1,348.57","1,299.62","1,353.66","1,251.01","","4.18%"
"01-09-2019","1,294.49","1,257.93","1,315.47","1,221.59","","2.30%"
"01-08-2019","1,265.41","1,253.01","1,272.33","1,217.34","","0.54%"
"01-07-2019","1,258.66","1,341.42","1,357.66","1,244.07","","-5.82%"
"01-06-2019","1,336.42","1,360.24","1,377.72","1,315.32","","-1.44%"
"01-05-2019","1,355.93","1,347.92","1,365.12","1,266.54","","0.32%"
"01-04-2019","1,351.55","1,343.41","1,363.37","1,331.64","","0.96%"
"01-03-2019","1,338.65","1,265.10","1,339.12","1,261.63","","6.27%"
"01-02-2019","1,259.61","1,262.21","1,297.95","1,223.83","","-0.09%"
"01-01-2019","1,260.79","1,263.10","1,277.37","1,230.96","","-0.15%"
"01-12-2018","1,262.73","1,269.34","1,280.43","1,197.69","","-0.01%"
"01-11-2018","1,262.87","1,221.45","1,268.27","1,209.77","","3.90%"
"01-10-2018","1,215.44","1,284.84","1,296.07","1,153.65","","-5.24%"
"01-09-2018","1,282.60","1,391.07","1,391.07","1,271.86","","-7.15%"
"01-08-2018","1,381.43","1,326.69","1,388.43","1,314.12","","4.25%"
"01-07-2018","1,325.06","1,248.62","1,326.04","1,233.70","","6.34%"
"01-06-2018","1,246.02","1,244.51","1,273.47","1,223.68","","0.26%"
"01-05-2018","1,242.76","1,281.16","1,281.57","1,212.88","","-2.65%"
"01-04-2018","1,276.54","1,203.71","1,278.80","1,199.73","","6.53%"
"01-03-2018","1,198.24","1,243.03","1,247.64","1,180.37","","-3.65%"
"01-02-2018","1,243.58","1,305.85","1,310.62","1,211.48","","-4.60%"
"01-01-2018","1,303.56","1,265.33","1,328.31","1,248.19","","3.04%"
"01-12-2017","1,265.15","1,223.96","1,266.05","1,196.45","","3.82%"
"01-11-2017","1,218.60","1,240.16","1,256.06","1,200.27","","-1.22%"
"01-10-2017","1,233.63","1,173.68","1,237.98","1,167.82","","6.37%"
"01-09-2017","1,159.76","1,181.98","1,210.16","1,147.56","","-1.64%"
"01-08-2017","1,179.07","1,195.96","1,199.74","1,143.82","","-1.19%"
"01-07-2017","1,193.33","1,125.72","1,198.98","1,120.96","","6.56%"
"01-06-2017","1,119.85","1,127.34","1,143.54","1,110.50","","-0.89%"
"01-05-2017","1,129.96","1,112.37","1,134.16","1,096.59","","1.99%"
"01-04-2017","1,107.90","1,102.69","1,116.04","1,082.42","","0.91%"
"01-03-2017","1,097.94","1,069.25","1,103.60","1,062.54","","2.94%"
"01-02-2017","1,066.61","1,026.52","1,075.34","1,021.57","","4.01%"
"01-01-2017","1,025.45","986.06","1,041.07","979.07","","4.30%"
"01-12-2016","983.20","994.91","1,000.10","944.35","","-0.93%"
"01-11-2016","992.38","1,050.12","1,052.95","943.90","","-5.26%"
"01-10-2016","1,047.50","1,056.88","1,076.24","1,036.16","","-0.26%"
"01-09-2016","1,050.19","1,067.54","1,089.92","1,038.68","","-1.54%"
"01-08-2016","1,066.59","1,059.54","1,072.62","1,041.60","","1.01%"
"01-07-2016","1,055.91","1,013.09","1,060.09","1,012.59","","4.64%"
"01-06-2016","1,009.11","997.67","1,011.24","966.35","","1.35%"
"01-05-2016","995.70","963.28","1,003.94","948.45","","3.23%"
"01-04-2016","964.58","955.81","986.86","932.53","","0.64%"
"01-03-2016","958.45","879.77","963.14","879.77","","9.13%"
"01-02-2016","878.26","944.58","945.45","856.38","","-6.73%"
"01-01-2016","941.64","984.76","988.60","900.89","","-4.51%"
